CATSCAT	CAT. Desc.	SCAT. Desc.
0001	Ordenadores                        	Ordenadores Sobremesa/Torre        
0002	Ordenadores                        	Unidades Ordenador y Monitor       
0005	Ordenadores                        	Servidores                         
0010	Ordenadores                        	UltraMobile PC                     
0011	Ordenadores                        	Portatiles/Notebooks               
0012	Ordenadores                        	Tablet PC Portatil                 
0014	Ordenadores                        	Tablet PC                          
0016	Ordenadores                        	Accesorios Tablet PC               
0030	Ordenadores                        	Computer Fans                      
0032	Ordenadores                        	Baterias de Portatil y Adaptadores 
0033	Ordenadores                        	Cajas/Cabinas/Ventiladores         
0034	Ordenadores                        	Fuentes Alimentación               
0035	Ordenadores                        	Terminales                         
0037	Ordenadores                        	Estaciones Trabajo                 
0039	Ordenadores                        	Accesorios Servidores              
0040	Ordenadores                        	Accesorios PC Sobremesa/Torre      
0041	Ordenadores                        	Accesorios Portatiles/Notebooks    
0042	Ordenadores                        	Accesorios Estaciones Trabajo      
0043	Ordenadores                        	Barebones                          
0044	Ordenadores                        	Notebook Barebone                  
0045	Ordenadores                        	Accesorios Agendas Electronicas    
0046	Ordenadores                        	Server Barebone                    
0066	Ordenadores                        	Garantias Ordenadores              
0101	SAIs (UPS)                         	Equipos SAI-UPS                    
0111	SAIs (UPS)                         	Acondicionadores Linea             
0121	SAIs (UPS)                         	Supresores Fluctuaciones           
0131	SAIs (UPS)                         	Componentes Alimentación           
0141	SAIs (UPS)                         	Baterias para SAI-UPS              
0151	SAIs (UPS)                         	Cargadores Bateria                 
0161	SAIs (UPS)                         	Accesorios SAI-UPS                 
0166	SAIs (UPS)                         	Garantias SAI-UPS                  
0202	Almacenamiento                     	Controladoras RAID                 
0203	Almacenamiento                     	Torres DVD                         
0204	Almacenamiento                     	Unidades DAT                       
0205	Almacenamiento                     	Unidades Cinta Magnetica           
0206	Almacenamiento                     	Unidades DLT                       
0208	Almacenamiento                     	Servidores Almacenamiento          
0209	Almacenamiento                     	Librerias/Autocargadores           
0210	Almacenamiento                     	Sistemas RAID                      
0211	Almacenamiento                     	Autocargador/Opciones Libreria     
0212	Almacenamiento                     	Discos Opticos                     
0213	Almacenamiento                     	Torres Opticas                     
0215	Almacenamiento                     	Accesorios Almacenamiento          
