"id","name","code","parent_id:id","notprintable"
"tax_0","company",,,
"vat_code_chart_root","Net Value Added Tax",,"tax_0",TRUE
"vat_dues","VAT Due",,"vat_code_chart_root",TRUE
"vat_dues_sales","VAT Due on Sales",,"vat_dues",TRUE
"vat_dues_ec_aq","VAT due from EC Acquisition",,"vat_dues_sales",TRUE
"S-C","Oil Vat - Sales","C","vat_dues_sales",FALSE
"S-E","Tax Excempt – Sales","E","vat_dues_sales",FALSE
"S-F","Heating VAT – Sales","F","vat_dues_sales",FALSE
"S-L","New 2009 VAT – Sales","L","vat_dues_sales",FALSE
"S-N","Not Registered – Sales","N","vat_dues_sales",FALSE
"S-P","2.5% Discount Rate – Sales","P","vat_dues_sales",FALSE
"S-S","Standard – Sales","S","vat_dues_sales",FALSE
"S-Z","Zero Rated – Sales","Z","vat_dues_sales",FALSE
"S-ES","EEC Standard Code – Sales","ES","vat_dues_ec_aq",FALSE
"S-EZ","EEC Zero Rated – Sales","EZ","vat_dues_ec_aq",FALSE
"vat_purchase","VAT Reclaimed on purchase",,"vat_code_chart_root",TRUE
"P-C","Oil Vat - Purchase","C","vat_purchase",FALSE
"P-E","Tax Excempt – Purchase","E","vat_purchase",FALSE
"P-F","Heating VAT – Purchase","F","vat_purchase",FALSE
"P-L","New 2009 VAT – Purchase","L","vat_purchase",FALSE
"P-N","Not Registered – Purchase","N","vat_purchase",FALSE
"P-P","2.5% Discount Rate – Purchase","P","vat_purchase",FALSE
"P-S","Standard – Purchase","S","vat_purchase",FALSE
"P-Z","Zero Rated – Purchase","Z","vat_purchase",FALSE
"P-ES","EEC Standard Code – Purchase","ES","vat_purchase",FALSE
"P-EZ","EEC Zero Rated – Purchase","EZ","vat_purchase",FALSE
"tax_base","Assessable Values",,"tax_0",FALSE
"total_sales","Total Sales",,"tax_base",FALSE
"total_purchases","Total Purchases",,"tax_base",FALSE
"local_sales","Local Sales",,"total_sales",FALSE
"local_purchases","Local Purchases",,"total_purchases",FALSE
"ec_sales","EC Sales",,"total_sales",FALSE
"ec_purchases","EC Purchases",,"total_purchases",FALSE
"other_sales","Other Sales",,"total_sales",FALSE
"other_purchases","Other Purchases",,"total_purchases",FALSE
